Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,2142.4128
2022-08-01 01:00:00,1984.5408
2022-08-01 02:00:00,1836.3013
2022-08-01 03:00:00,1718.9594
2022-08-01 04:00:00,1643.5647
2022-08-01 05:00:00,1603.9814
2022-08-01 06:00:00,1589.5558
2022-08-01 07:00:00,1629.5905
2022-08-01 08:00:00,1784.5679
2022-08-01 09:00:00,2069.98
2022-08-01 10:00:00,2370.5586
2022-08-01 11:00:00,2554.0764
2022-08-01 12:00:00,2635.9277
2022-08-01 13:00:00,2653.6528
2022-08-01 14:00:00,2686.21
2022-08-01 15:00:00,2720.9934
2022-08-01 16:00:00,2715.5598
2022-08-01 17:00:00,2668.9634
2022-08-01 18:00:00,2601.286
2022-08-01 19:00:00,2542.5251
2022-08-01 20:00:00,2510.627
2022-08-01 21:00:00,2481.4263
2022-08-01 22:00:00,2413.4548
2022-08-01 23:00:00,2294.908
2022-08-02 00:00:00,2140.6624
2022-08-02 01:00:00,1972.3564
2022-08-02 02:00:00,1817.2592
2022-08-02 03:00:00,1700.601
2022-08-02 04:00:00,1632.2529
2022-08-02 05:00:00,1594.1027
2022-08-02 06:00:00,1562.6938
2022-08-02 07:00:00,1593.2333
2022-08-02 08:00:00,1776.5897
2022-08-02 09:00:00,2097.9617
2022-08-02 10:00:00,2367.8354
2022-08-02 11:00:00,2523.368
2022-08-02 12:00:00,2588.6584
2022-08-02 13:00:00,2602.5427
2022-08-02 14:00:00,2648.2837
2022-08-02 15:00:00,2690.8328
2022-08-02 16:00:00,2688.2244
2022-08-02 17:00:00,2646.5283
2022-08-02 18:00:00,2586.5488
2022-08-02 19:00:00,2534.7278
2022-08-02 20:00:00,2508.033
2022-08-02 21:00:00,2483.9565
2022-08-02 22:00:00,2421.8909
2022-08-02 23:00:00,2305.889
2022-08-03 00:00:00,2150.7283
2022-08-03 01:00:00,1978.4634
2022-08-03 02:00:00,1817.2711
2022-08-03 03:00:00,1694.3062
2022-08-03 04:00:00,1622.8678
2022-08-03 05:00:00,1586.4248
2022-08-03 06:00:00,1557.3123
2022-08-03 07:00:00,1581.0812
2022-08-03 08:00:00,1754.6447
2022-08-03 09:00:00,2079.7551
2022-08-03 10:00:00,2364.5955
2022-08-03 11:00:00,2529.1863
2022-08-03 12:00:00,2602.4233
2022-08-03 13:00:00,2608.883
2022-08-03 14:00:00,2647.088
2022-08-03 15:00:00,2688.4978
2022-08-03 16:00:00,2687.945
2022-08-03 17:00:00,2649.1787
2022-08-03 18:00:00,2594.0508
2022-08-03 19:00:00,2545.3557
2022-08-03 20:00:00,2518.665
2022-08-03 21:00:00,2495.078
2022-08-03 22:00:00,2435.49
2022-08-03 23:00:00,2323.27
2022-08-04 00:00:00,2169.8977
2022-08-04 01:00:00,1995.9648
2022-08-04 02:00:00,1829.1012
2022-08-04 03:00:00,1699.4738
2022-08-04 04:00:00,1621.963
2022-08-04 05:00:00,1585.0703
2022-08-04 06:00:00,1556.9624
2022-08-04 07:00:00,1574.1305
2022-08-04 08:00:00,1731.8143
2022-08-04 09:00:00,2049.6545
2022-08-04 10:00:00,2349.5276
2022-08-04 11:00:00,2523.3179
2022-08-04 12:00:00,2604.875
2022-08-04 13:00:00,2609.6978
2022-08-04 14:00:00,2639.6455
2022-08-04 15:00:00,2679.6516
2022-08-04 16:00:00,2680.5593
2022-08-04 17:00:00,2646.5435
2022-08-04 18:00:00,2596.2202
2022-08-04 19:00:00,2549.9775
2022-08-04 20:00:00,2524.1711
2022-08-04 21:00:00,2501.8376
2022-08-04 22:00:00,2445.895
2022-08-04 23:00:00,2338.703
2022-08-05 00:00:00,2189.0576
2022-08-05 01:00:00,2014.7595
2022-08-05 02:00:00,1844.1239
