Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,2147.5784
2022-08-01 01:00:00,1996.7214
2022-08-01 02:00:00,1853.3497
2022-08-01 03:00:00,1737.583
2022-08-01 04:00:00,1660.4207
2022-08-01 05:00:00,1620.1542
2022-08-01 06:00:00,1607.9578
2022-08-01 07:00:00,1642.9115
2022-08-01 08:00:00,1776.4551
2022-08-01 09:00:00,2028.0001
2022-08-01 10:00:00,2310.3557
2022-08-01 11:00:00,2507.0881
2022-08-01 12:00:00,2604.555
2022-08-01 13:00:00,2642.2612
2022-08-01 14:00:00,2673.6965
2022-08-01 15:00:00,2708.3506
2022-08-01 16:00:00,2718.0652
2022-08-01 17:00:00,2684.627
2022-08-01 18:00:00,2622.4038
2022-08-01 19:00:00,2563.4495
2022-08-01 20:00:00,2522.9895
2022-08-01 21:00:00,2483.6614
2022-08-01 22:00:00,2412.3455
2022-08-01 23:00:00,2295.2402
2022-08-02 00:00:00,2144.026
2022-08-02 01:00:00,1980.5992
2022-08-02 02:00:00,1829.99
2022-08-02 03:00:00,1715.0099
2022-08-02 04:00:00,1645.2275
2022-08-02 05:00:00,1608.5731
2022-08-02 06:00:00,1584.9142
2022-08-02 07:00:00,1611.3853
2022-08-02 08:00:00,1774.528
2022-08-02 09:00:00,2076.6724
2022-08-02 10:00:00,2357.9033
2022-08-02 11:00:00,2527.0522
2022-08-02 12:00:00,2610.739
2022-08-02 13:00:00,2645.337
2022-08-02 14:00:00,2685.2744
2022-08-02 15:00:00,2727.962
2022-08-02 16:00:00,2740.127
2022-08-02 17:00:00,2706.9824
2022-08-02 18:00:00,2645.3584
2022-08-02 19:00:00,2586.0479
2022-08-02 20:00:00,2547.9011
2022-08-02 21:00:00,2513.6594
2022-08-02 22:00:00,2445.4048
2022-08-02 23:00:00,2328.1414
2022-08-03 00:00:00,2173.062
2022-08-03 01:00:00,2002.4476
2022-08-03 02:00:00,1843.0801
2022-08-03 03:00:00,1719.3943
2022-08-03 04:00:00,1644.6805
2022-08-03 05:00:00,1606.6312
2022-08-03 06:00:00,1581.0459
2022-08-03 07:00:00,1599.3191
2022-08-03 08:00:00,1754.7328
2022-08-03 09:00:00,2062.4968
2022-08-03 10:00:00,2360.5747
2022-08-03 11:00:00,2542.1125
2022-08-03 12:00:00,2632.4602
2022-08-03 13:00:00,2663.5378
2022-08-03 14:00:00,2696.5508
2022-08-03 15:00:00,2737.9417
2022-08-03 16:00:00,2752.1226
2022-08-03 17:00:00,2725.447
2022-08-03 18:00:00,2669.4172
2022-08-03 19:00:00,2614.127
2022-08-03 20:00:00,2577.4312
2022-08-03 21:00:00,2544.2554
2022-08-03 22:00:00,2481.0754
2022-08-03 23:00:00,2368.021
2022-08-04 00:00:00,2213.63
2022-08-04 01:00:00,2039.5741
2022-08-04 02:00:00,1872.5125
2022-08-04 03:00:00,1738.4884
2022-08-04 04:00:00,1653.7004
2022-08-04 05:00:00,1611.5447
2022-08-04 06:00:00,1584.1519
2022-08-04 07:00:00,1592.6459
2022-08-04 08:00:00,1727.6293
2022-08-04 09:00:00,2023.438
2022-08-04 10:00:00,2338.5708
2022-08-04 11:00:00,2539.2585
2022-08-04 12:00:00,2643.2622
2022-08-04 13:00:00,2676.8591
2022-08-04 14:00:00,2703.3733
2022-08-04 15:00:00,2741.6006
2022-08-04 16:00:00,2758.7632
2022-08-04 17:00:00,2737.5173
2022-08-04 18:00:00,2687.1353
2022-08-04 19:00:00,2634.9192
2022-08-04 20:00:00,2598.8022
2022-08-04 21:00:00,2568.3262
2022-08-04 22:00:00,2511.875
2022-08-04 23:00:00,2406.1262
2022-08-05 00:00:00,2257.201
2022-08-05 01:00:00,2082.6409
2022-08-05 02:00:00,1908.9767
2022-08-05 03:00:00,1764.8302
2022-08-05 04:00:00,1669.165
2022-08-05 05:00:00,1619.3696
2022-08-05 06:00:00,1590.1061
2022-08-05 07:00:00,1588.0441
2022-08-05 08:00:00,1696.9266
2022-08-05 09:00:00,1971.7427
2022-08-05 10:00:00,2299.8093
2022-08-05 11:00:00,2525.395
2022-08-05 12:00:00,2647.234
2022-08-05 13:00:00,2688.5923
2022-08-05 14:00:00,2710.6528
2022-08-05 15:00:00,2745.018
2022-08-05 16:00:00,2766.737
2022-08-05 17:00:00,2751.922
2022-08-05 18:00:00,2706.6719
2022-08-05 19:00:00,2654.3865
2022-08-05 20:00:00,2618.4324
2022-08-05 21:00:00,2590.4924
2022-08-05 22:00:00,2540.4478
2022-08-05 23:00:00,2443.4744
2022-08-06 00:00:00,2300.0361
2022-08-06 01:00:00,2127.6875
2022-08-06 02:00:00,1950.2067
2022-08-06 03:00:00,1796.6926
2022-08-06 04:00:00,1690.0574
2022-08-06 05:00:00,1631.8113
2022-08-06 06:00:00,1599.3856
2022-08-06 07:00:00,1587.917
2022-08-06 08:00:00,1670.8126
2022-08-06 09:00:00,1917.3234
2022-08-06 10:00:00,2250.5256
2022-08-06 11:00:00,2501.1042
2022-08-06 12:00:00,2642.468
2022-08-06 13:00:00,2697.2412
2022-08-06 14:00:00,2717.3914
2022-08-06 15:00:00,2749.4226
2022-08-06 16:00:00,2774.5935
2022-08-06 17:00:00,2766.4707
2022-08-06 18:00:00,2725.8315
2022-08-06 19:00:00,2672.9468
2022-08-06 20:00:00,2633.6296
2022-08-06 21:00:00,2606.8115
2022-08-06 22:00:00,2563.9358
2022-08-06 23:00:00,2475.806
2022-08-07 00:00:00,2340.0696
2022-08-07 01:00:00,2171.999
2022-08-07 02:00:00,1993.2549
2022-08-07 03:00:00,1832.546
2022-08-07 04:00:00,1714.9932
2022-08-07 05:00:00,1647.4257
2022-08-07 06:00:00,1610.7714
2022-08-07 07:00:00,1591.29
2022-08-07 08:00:00,1649.1316
2022-08-07 09:00:00,1864.502
2022-08-07 10:00:00,2194.995
2022-08-07 11:00:00,2470.5554
2022-08-07 12:00:00,2631.8484
2022-08-07 13:00:00,2702.5366
2022-08-07 14:00:00,2724.9963
2022-08-07 15:00:00,2755.4934
2022-08-07 16:00:00,2784.7454
2022-08-07 17:00:00,2782.8035
2022-08-07 18:00:00,2745.9841
2022-08-07 19:00:00,2691.6418
2022-08-07 20:00:00,2648.1785
2022-08-07 21:00:00,2620.852
2022-08-07 22:00:00,2584.711
